Code,Suburbs
-1,--- Select ---
Alexander Heights,Alexander Heights
Alfred Cove,Alfred Cove
Alkimos,Alkimos
Anketell,Anketell
Applecross,Applecross
Ardross,Ardross
Armadale,Armadale
Ascot,Ascot
Ashby,Ashby
Ashendon,Ashendon
Ashfield,Ashfield
Attadale,Attadale
Atwell,Atwell
Aubin Grove,Aubin Grove
Aveley,Aveley
Bailup,Bailup
Balcatta,Balcatta
Baldivis,Baldivis
Balga,Balga
Ballajura,Ballajura
Banjup,Banjup
Banksia Grove,Banksia Grove
Baskerville,Baskerville
Bassendean,Bassendean
Bateman,Bateman
Bayswater,Bayswater
Beaconsfield,Beaconsfield
Beckenham,Beckenham
Bedford,Bedford
Bedfordale,Bedfordale
Beechboro,Beechboro
Beechina,Beechina
Beeliar,Beeliar
Beldon,Beldon
Belhus,Belhus
Bellevue,Bellevue
Belmont,Belmont
Bentley,Bentley
Bertram,Bertram
Bibra Lake,Bibra Lake
Bickley,Bickley
Bicton,Bicton
Booragoon,Booragoon
Boya,Boya
Brabham,Brabham
Brentwood,Brentwood
Brigadoon,Brigadoon
Brookdale,Brookdale
Bull Creek,Bull Creek
Bullsbrook,Bullsbrook
Burns Beach,Burns Beach
Burswood,Burswood
Butler,Butler
Byford,Byford
Calista,Calista
Camillo (formerly Westfield),Camillo (formerly Westfield)
Canning Mills,Canning Mills
Canning Vale,Canning Vale
Cannington,Cannington
Carabooda,Carabooda
Cardup,Cardup
Carine,Carine
Carlisle,Carlisle
Carmel,Carmel
Carramar,Carramar
Casuarina,Casuarina
Caversham,Caversham
Champion Lakes,Champion Lakes
Chidlow,Chidlow
Churchlands,Churchlands
City Beach,City Beach
Claremont,Claremont
Clarkson,Clarkson
Cloverdale,Cloverdale
Como,Como
Connolly,Connolly
Coogee,Coogee
Coolbellup,Coolbellup
Coolbinia,Coolbinia
Cooloongup,Cooloongup
Cottesloe,Cottesloe
Craigie,Craigie
Crawley,Crawley
Cullacabardee,Cullacabardee
Currambine,Currambine
Daglish,Daglish
Daglish,Daglish
Dalkeith,Dalkeith
Darch,Darch
Darling Downs,Darling Downs
Darlington,Darlington
Dayton,Dayton
Dianella,Dianella
Dianella,Dianella
Doubleview,Doubleview
Duncraig,Duncraig
East Cannington,East Cannington
East Fremantle,East Fremantle
East Perth,East Perth
East Rockingham,East Rockingham
East Victoria Park,East Victoria Park
Eden Hill,Eden Hill
Edgewater,Edgewater
Eglinton,Eglinton
Ellenbrook,Ellenbrook
Embleton,Embleton
Ferndale,Ferndale
Floreat,Floreat
Forrestdale,Forrestdale
Forrestfield,Forrestfield
Fremantle,Fremantle
Gidgegannup,Gidgegannup
Girrawheen,Girrawheen
Glen Forrest,Glen Forrest
Glendalough,Glendalough
Gnangara,Gnangara
Golden Bay,Golden Bay
Gooseberry Hill,Gooseberry Hill
Gorrie,Gorrie
Gosnells,Gosnells
Greenmount,Greenmount
Greenwood,Greenwood
Guildford,Guildford
Gwelup,Gwelup
Hacketts Gully,Hacketts Gully
Hamersley,Hamersley
Hamilton Hill,Hamilton Hill
Hammond Park,Hammond Park
Harrisdale,Harrisdale
Haynes,Haynes
Hazelmere,Hazelmere
Heathridge,Heathridge
Helena Valley,Helena Valley
Henderson,Henderson
Henley Brook,Henley Brook
Herne Hill,Herne Hill
High Wycombe,High Wycombe
Highgate,Highgate
Hilbert,Hilbert
Hillarys,Hillarys
Hillman,Hillman
Hilton,Hilton
Hocking,Hocking
Hope Valley,Hope Valley
Hopeland,Hopeland
Hovea,Hovea
Huntingdale,Huntingdale
Iluka,Iluka
Inglewood,Inglewood
Innaloo,Innaloo
Jandabup,Jandabup
Jandakot,Jandakot
Jane Brook,Jane Brook
Jarrahdale,Jarrahdale
Jindalee,Jindalee
Jolimont,Jolimont
Joondalup,Joondalup
Joondanna,Joondanna
Kalamunda,Kalamunda
Kallaroo,Kallaroo
Karawara,Karawara
Kardinya,Kardinya
Karnup,Karnup
Karragullen,Karragullen
Karrakatta,Karrakatta
Karrakup,Karrakup
Karrinyup,Karrinyup
Kelmscott,Kelmscott
Kensington,Kensington
Kenwick,Kenwick
Kewdale,Kewdale
Keysbrook,Keysbrook
Kiara,Kiara
Kingsley,Kingsley
Kinross,Kinross
Koondoola,Koondoola
Koongamia,Koongamia
Kwinana Beach,Kwinana Beach
Kwinana Town Centre,Kwinana Town Centre
Landsdale,Landsdale
Langford,Langford
Lathlain,Lathlain
Leda,Leda
Leederville,Leederville
Leeming,Leeming
Lesmurdie,Lesmurdie
Lexia,Lexia
Lockridge,Lockridge
Lynwood,Lynwood
Maddington,Maddington
Madeley,Madeley
Mahogany Creek,Mahogany Creek
Maida Vale,Maida Vale
Malaga,Malaga
Mandogalup,Mandogalup
Manning,Manning
Marangaroo,Marangaroo
Mardella,Mardella
Mariginiup,Mariginiup
Marmion,Marmion
Martin,Martin
Maylands,Maylands
Medina,Medina
Melaleuca,Melaleuca
Melville,Melville
Menora,Menora
Merriwa,Merriwa
Middle Swan,Middle Swan
Midland,Midland
Midvale,Midvale
Millendon,Millendon
Mindarie,Mindarie
Mirrabooka,Mirrabooka
Morley,Morley
Mosman Park,Mosman Park
Mount Claremont,Mount Claremont
Mount Hawthorn,Mount Hawthorn
Mount Helena,Mount Helena
Mount Lawley,Mount Lawley
Mount Nasura,Mount Nasura
Mount Pleasant,Mount Pleasant
Mount Richon,Mount Richon
Mullaloo,Mullaloo
Mundaring,Mundaring
Mundijong,Mundijong
Munster,Munster
